 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
   625.000,    625.000,     0.010, 0.1139E+01,  0.100
   625.000,    675.000,     0.010, 0.1040E+01,  0.100
   625.000,    725.000,     0.010, 0.1286E+01,  0.100
   625.000,    775.000,     0.010, 0.1096E+01,  0.100
   625.000,    825.000,     0.010, 0.1186E+01,  0.100
   625.000,    875.000,     0.010, 0.9093E+00,  0.100
   625.000,    925.000,     0.010, 0.8007E+00,  0.100
   625.000,    975.000,     0.010, 0.8219E+00,  0.100
   675.000,     25.000,     0.010, 0.6092E+00,  0.100
   675.000,     75.000,     0.010, 0.6140E+00,  0.100
   675.000,    125.000,     0.010, 0.7241E+00,  0.100
   675.000,    175.000,     0.010, 0.9308E+00,  0.100
   675.000,    225.000,     0.010, 0.8497E+00,  0.100
   675.000,    275.000,     0.010, 0.7660E+00,  0.100
   675.000,    325.000,     0.010, 0.7738E+00,  0.100
   675.000,    375.000,     0.010, 0.8800E+00,  0.100
   675.000,    425.000,     0.010, 0.1086E+01,  0.100
   675.000,    475.000,     0.010, 0.8895E+00,  0.100
   675.000,    525.000,     0.010, 0.1100E+01,  0.100
   675.000,    575.000,     0.010, 0.1236E+01,  0.100
   675.000,    625.000,     0.010, 0.1234E+01,  0.100
   675.000,    675.000,     0.010, 0.1243E+01,  0.100
   675.000,    725.000,     0.010, 0.1101E+01,  0.100
   675.000,    775.000,     0.010, 0.9375E+00,  0.100
   675.000,    825.000,     0.010, 0.9538E+00,  0.100
   675.000,    875.000,     0.010, 0.1019E+01,  0.100
   675.000,    925.000,     0.010, 0.6477E+00,  0.100
   675.000,    975.000,     0.010, 0.7450E+00,  0.100
   725.000,     25.000,     0.010, 0.5515E+00,  0.100
   725.000,     75.000,     0.010, 0.7482E+00,  0.100
   725.000,    125.000,     0.010, 0.8625E+00,  0.100
   725.000,    175.000,     0.010, 0.8638E+00,  0.100
   725.000,    225.000,     0.010, 0.7963E+00,  0.100
   725.000,    275.000,     0.010, 0.1066E+01,  0.100
   725.000,    325.000,     0.010, 0.9899E+00,  0.100
   725.000,    375.000,     0.010, 0.8949E+00,  0.100
   725.000,    425.000,     0.010, 0.9158E+00,  0.100
   725.000,    475.000,     0.010, 0.9955E+00,  0.100
   725.000,    525.000,     0.010, 0.1051E+01,  0.100
   725.000,    575.000,     0.010, 0.1098E+01,  0.100
   725.000,    625.000,     0.010, 0.1095E+01,  0.100
   725.000,    675.000,     0.010, 0.1108E+01,  0.100
   725.000,    725.000,     0.010, 0.8483E+00,  0.100
   725.000,    775.000,     0.010, 0.8484E+00,  0.100
   725.000,    825.000,     0.010, 0.9770E+00,  0.100
   725.000,    875.000,     0.010, 0.9051E+00,  0.100
   725.000,    925.000,     0.010, 0.5644E+00,  0.100
   725.000,    975.000,     0.010, 0.6311E+00,  0.100
   775.000,     25.000,     0.010, 0.8351E+00,  0.100
   775.000,     75.000,     0.010, 0.7407E+00,  0.100
   775.000,    125.000,     0.010, 0.7779E+00,  0.100
   775.000,    175.000,     0.010, 0.8530E+00,  0.100
   775.000,    225.000,     0.010, 0.1052E+01,  0.100
   775.000,    275.000,     0.010, 0.9888E+00,  0.100
   775.000,    325.000,     0.010, 0.8920E+00,  0.100
   775.000,    375.000,     0.010, 0.1128E+01,  0.100
   775.000,    425.000,     0.010, 0.9694E+00,  0.100
   775.000,    475.000,     0.010, 0.1038E+01,  0.100
   775.000,    525.000,     0.010, 0.8788E+00,  0.100
   775.000,    575.000,     0.010, 0.8907E+00,  0.100
   775.000,    625.000,     0.010, 0.9923E+00,  0.100
   775.000,    675.000,     0.010, 0.1065E+01,  0.100
   775.000,    725.000,     0.010, 0.7256E+00,  0.100
   775.000,    775.000,     0.010, 0.7286E+00,  0.100
   775.000,    825.000,     0.010, 0.7288E+00,  0.100
   775.000,    875.000,     0.010, 0.5640E+00,  0.100
   775.000,    925.000,     0.010, 0.6792E+00,  0.100
   775.000,    975.000,     0.010, 0.4513E+00,  0.100
   825.000,     25.000,     0.010, 0.8435E+00,  0.100
   825.000,     75.000,     0.010, 0.8675E+00,  0.100
   825.000,    125.000,     0.010, 0.9960E+00,  0.100
   825.000,    175.000,     0.010, 0.9481E+00,  0.100
   825.000,    225.000,     0.010, 0.9511E+00,  0.100
   825.000,    275.000,     0.010, 0.1241E+01,  0.100
   825.000,    325.000,     0.010, 0.1073E+01,  0.100
   825.000,    375.000,     0.010, 0.9146E+00,  0.100
   825.000,    425.000,     0.010, 0.1012E+01,  0.100
   825.000,    475.000,     0.010, 0.7680E+00,  0.100
   825.000,    525.000,     0.010, 0.7674E+00,  0.100
   825.000,    575.000,     0.010, 0.7680E+00,  0.100
   825.000,    625.000,     0.010, 0.7072E+00,  0.100
