x_utm,y_utm,z_utm,aCB_Res_mGal,Std_dev[mGal]
368334,2531721,1416.988196,-0.125534079,0.1
368334,2531821,1383.991541,0.105273764,0.1
368334,2531921,1356.83745,0.615282037,0.1
368334,2532021,1330.143141,-0.00909836,0.1
368334,2532221,1304.288694,-1.349698997,0.1
368334,2532321,1305.795561,-1.173221374,0.1
368334,2532421,1306.99677,-0.725726169,0.1
368334,2532521,1307.227412,0.636822576,0.1
368334,2532721,1308.958521,0.051680793,0.1
368334,2532921,1348.82553,-0.934579326,0.1
368334,2533021,1394.756977,-0.817404638,0.1
368334,2533121,1420.740712,0.176768107,0.1
368334,2533221,1422.912441,0.137180123,0.1
368434,2531721,1423.393241,-0.862438616,0.1
368434,2531821,1388.012958,-1.324393059,0.1
368434,2531921,1363.5956,-0.904567505,0.1
368434,2532021,1335.676018,0.530314121,0.1
368434,2532121,1308.742541,-0.120564122,0.1
368434,2532221,1304.528778,-1.273103908,0.1
368434,2532321,1305.994656,-0.892065056,0.1
368434,2532421,1308.140653,-0.504178439,0.1
368434,2532521,1308.662577,-0.128464131,0.1
368434,2532621,1310.775163,0.879338261,0.1
368434,2532721,1312.613202,1.086742342,0.1
368434,2532921,1348.09565,0.09499164,0.1
368434,2533021,1380.561593,-0.142273206,0.1
368434,2533121,1394.480987,0.425990402,0.1
368434,2533221,1395.458741,0.170235525,0.1
368534,2531721,1432.965278,-0.685744384,0.1
368534,2531821,1394.056473,-1.117868787,0.1
368534,2531921,1363.895101,-0.811054571,0.1
368534,2532021,1333.437608,-0.049736724,0.1
368534,2532121,1308.608822,-0.428510928,0.1
368534,2532221,1304.52918,-1.123317667,0.1
368534,2532321,1305.230352,-0.705573832,0.1
368534,2532421,1308.597963,-0.447414958,0.1
368534,2532521,1309.998514,-0.236954111,0.1
368534,2532621,1312.995146,0.380638947,0.1
368534,2532721,1316.182695,0.871439329,0.1
368534,2532821,1323.506247,0.938071642,0.1
368534,2532921,1340.748528,0.222468629,0.1
368534,2533021,1359.45691,-0.032576629,0.1
368534,2533121,1367.556769,0.273837536,0.1
368534,2533221,1375.440097,-0.154778784,0.1
368634,2531721,1434.14637,-0.583521918,0.1
368634,2531821,1401.773187,-0.812071807,0.1
368634,2531921,1366.213822,-0.649689149,0.1
368634,2532021,1331.383972,-0.270414126,0.1
368634,2532121,1311.041901,-0.252009799,0.1
368634,2532221,1307.083582,-0.473504929,0.1
368634,2532321,1305.117931,-0.467628547,0.1
368634,2532421,1307.835965,-0.404771203,0.1
368634,2532521,1309.51345,-0.338064297,0.1
368634,2532621,1313.671841,-0.23177119,0.1
368634,2532721,1320.487438,-0.107863747,0.1
368634,2532821,1326.698537,-0.11546204,0.1
368634,2532921,1335.238795,-0.277834792,0.1
368634,2533021,1343.418056,-0.306701563,0.1
368634,2533121,1350.678384,-0.080293188,0.1
368634,2533221,1364.69363,-0.558956266,0.1
368734,2531721,1421.193338,-0.588357058,0.1
368734,2531821,1406.009371,-0.678523503,0.1
368734,2531921,1375.296403,-0.467268565,0.1
368734,2532021,1336.977816,0.062031334,0.1
368734,2532121,1316.419326,0.369280814,0.1
368734,2532221,1312.697078,0.157060535,0.1
368734,2532321,1309.96337,-0.265520172,0.1
368734,2532421,1308.537266,-0.380375018,0.1
368734,2532521,1311.947925,-0.376238704,0.1
368734,2532621,1322.564691,-0.557412079,0.1
368734,2532721,1335.51868,-0.714663168,0.1
368734,2532821,1341.968915,-0.838645153,0.1
368734,2532921,1345.295128,-0.793196074,0.1
368734,2533021,1349.316196,-0.643403064,0.1
368734,2533121,1353.158686,-0.372840188,0.1
368734,2533221,1359.687749,-0.706408351,0.1
368834,2531721,1399.857927,-0.499453386,0.1
368834,2531821,1396.792381,-0.586116755,0.1
368834,2531921,1380.223027,-0.314447599,0.1
368834,2532021,1346.906176,0.800979895,0.1
368834,2532121,1323.670731,0.226310288,0.1
368834,2532321,1317.040804,-0.40320494,0.1
368834,2532421,1319.820462,-0.536270827,0.1
368834,2532521,1331.480577,-0.404299008,0.1
368834,2532621,1347.770899,-0.418508401,0.1
368834,2532721,1357.531239,-0.573897105,0.1
368834,2532821,1357.252428,-0.797832972,0.1
368834,2532921,1355.604627,-0.951357039,0.1
368834,2533021,1357.571307,-0.756506579,0.1
368834,2533121,1359.529976,-0.401857694,0.1
368834,2533221,1363.042103,-0.546328126,0.1
368934,2531721,1387.357345,-0.309380896,0.1
368934,2531821,1382.761848,-0.336232274,0.1
368934,2531921,1373.322217,0.110772483,0.1
368934,2532021,1350.670186,1.460996705,0.1
368934,2532121,1332.019146,0.028349378,0.1
368934,2532321,1337.729044,-0.752538023,0.1
368934,2532421,1347.361499,-0.887883137,0.1
368934,2532521,1355.233383,-0.644806596,0.1
368934,2532621,1361.156074,-0.291646591,0.1
368934,2532721,1363.034146,-0.197918758,0.1
368934,2532821,1360.617492,-0.350308591,0.1
368934,2532921,1358.848772,-0.527128204,0.1
368934,2533021,1359.358669,-0.418946864,0.1
368934,2533121,1360.028461,-0.130711261,0.1
368934,2533221,1362.471736,-0.139117681,0.1
369034,2531721,1379.62729,-0.01609084,0.1
369034,2531821,1374.627988,-0.054929383,0.1
369034,2531921,1368.309938,0.371711209,0.1
369034,2532021,1353.849093,1.578631826,0.1
369034,2532121,1340.21821,1.161187135,0.1
369034,2532221,1339.211437,-0.360475162,0.1
369034,2532321,1345.17243,-0.982062199,0.1
369034,2532421,1349.815809,-1.023967853,0.1
369034,2532521,1353.674787,-0.707978774,0.1
369034,2532621,1356.076865,-0.149435635,0.1
369034,2532721,1356.350721,0.1091924,0.1
369034,2532821,1355.362408,0.065702619,0.1
369034,2532921,1355.519291,-0.066661225,0.1
369034,2533021,1356.691531,-0.020674741,0.1
369034,2533121,1357.050671,0.1769042,0.1
369034,2533221,1358.644172,0.238203117,0.1
369134,2531721,1371.361447,0.24306348,0.1
369134,2531821,1366.815343,0.185442162,0.1
369134,2531921,1366.559685,0.503261609,0.1
369134,2532021,1362.65788,1.44990622,0.1
369134,2532121,1351.534908,0.93918906,0.1
369134,2532221,1341.578333,-0.351756946,0.1
369134,2532321,1341.581609,-0.748532071,0.1
369134,2532421,1344.156584,-0.695098824,0.1
369134,2532521,1345.771317,-0.411764436,0.1
369134,2532621,1348.071661,-0.012059643,0.1
369134,2532721,1348.787215,0.189352253,0.1
369134,2532821,1348.937833,0.180231182,0.1
369134,2532921,1349.846048,0.084513374,0.1
369134,2533021,1351.246155,0.104963244,0.1
369134,2533121,1352.451535,0.254536499,0.1
369134,2533221,1354.864872,0.268122906,0.1
369234,2531721,1363.626303,0.333023355,0.1
369234,2531821,1359.305845,0.288973675,0.1
369234,2531921,1360.200703,0.481234432,0.1
369234,2532021,1360.725191,1.104113923,0.1
369234,2532121,1351.755273,0.722856644,0.1
369234,2532221,1339.11374,-0.154601372,0.1
369234,2532321,1337.934825,-0.365942302,0.1
369234,2532421,1339.047941,-0.24963637,0.1
369234,2532521,1340.131204,-0.067586114,0.1
369234,2532621,1342.177417,0.036987763,0.1
369234,2532721,1343.221777,0.074654548,0.1
369234,2532821,1344.079211,0.030373014,0.1
369234,2532921,1345.568705,-0.028672865,0.1
369234,2533021,1346.921316,0.008594398,0.1
369234,2533121,1347.763023,0.147356277,0.1
369234,2533221,1349.865175,0.09226125,0.1
369334,2531721,1356.495427,0.288354212,0.1
369334,2531821,1352.324062,0.28948399,0.1
369334,2531921,1350.333815,0.350093544,0.1
369334,2532021,1348.867673,0.632306952,0.1
369334,2532121,1342.507026,0.362004211,0.1
369334,2532221,1335.146013,-0.155660805,0.1
369334,2532321,1335.557743,-0.20645275,0.1
369334,2532421,1335.673737,-0.06897685,0.1
369334,2532521,1336.507737,0.059145323,0.1
369334,2532621,1337.641823,0.031077167,0.1
369334,2532721,1338.880415,-0.005689743,0.1
369334,2532821,1340.562334,-0.060223063,0.1
369334,2532921,1342.681171,-0.085696987,0.1
369334,2533021,1343.865277,-0.02694896,0.1
369334,2533121,1343.589518,0.100276055,0.1
369334,2533221,1344.533485,-0.052455837,0.1
369434,2531721,1349.919648,0.163610828,0.1
369434,2531821,1346.113471,0.247732907,0.1
369434,2531921,1342.399456,0.298948575,0.1
369434,2532021,1338.898977,0.315087149,0.1
369434,2532121,1334.475326,0.058566198,0.1
369434,2532221,1332.036302,-0.282812111,0.1
369434,2532321,1332.878809,-0.324577903,0.1
369434,2532421,1333.442518,-0.214475923,0.1
369434,2532521,1334.003537,-0.095856662,0.1
369434,2532621,1333.655745,0.014437385,0.1
369434,2532721,1334.569208,0.04206508,0.1
369434,2532821,1336.523643,0.039337742,0.1
369434,2532921,1338.934953,0.038600969,0.1
369434,2533021,1340.243711,0.092460348,0.1
369434,2533121,1339.542351,0.199402715,0.1
