 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
   625.000,    525.000,     0.010, 0.1061E+01,  0.100
   625.000,    575.000,     0.010, 0.1115E+01,  0.100
   625.000,    625.000,     0.010, 0.1159E+01,  0.100
   625.000,    675.000,     0.010, 0.1180E+01,  0.100
   625.000,    725.000,     0.010, 0.1165E+01,  0.100
   625.000,    775.000,     0.010, 0.1110E+01,  0.100
   625.000,    825.000,     0.010, 0.1018E+01,  0.100
   625.000,    875.000,     0.010, 0.9008E+00,  0.100
   625.000,    925.000,     0.010, 0.7741E+00,  0.100
   625.000,    975.000,     0.010, 0.6513E+00,  0.100
   675.000,     25.000,     0.010, 0.6084E+00,  0.100
   675.000,     75.000,     0.010, 0.6810E+00,  0.100
   675.000,    125.000,     0.010, 0.7486E+00,  0.100
   675.000,    175.000,     0.010, 0.8070E+00,  0.100
   675.000,    225.000,     0.010, 0.8533E+00,  0.100
   675.000,    275.000,     0.010, 0.8871E+00,  0.100
   675.000,    325.000,     0.010, 0.9113E+00,  0.100
   675.000,    375.000,     0.010, 0.9311E+00,  0.100
   675.000,    425.000,     0.010, 0.9529E+00,  0.100
   675.000,    475.000,     0.010, 0.9819E+00,  0.100
   675.000,    525.000,     0.010, 0.1019E+01,  0.100
   675.000,    575.000,     0.010, 0.1060E+01,  0.100
   675.000,    625.000,     0.010, 0.1094E+01,  0.100
   675.000,    675.000,     0.010, 0.1107E+01,  0.100
   675.000,    725.000,     0.010, 0.1089E+01,  0.100
   675.000,    775.000,     0.010, 0.1034E+01,  0.100
   675.000,    825.000,     0.010, 0.9471E+00,  0.100
   675.000,    875.000,     0.010, 0.8380E+00,  0.100
   675.000,    925.000,     0.010, 0.7206E+00,  0.100
   675.000,    975.000,     0.010, 0.6072E+00,  0.100
   725.000,     25.000,     0.010, 0.6463E+00,  0.100
   725.000,     75.000,     0.010, 0.7260E+00,  0.100
   725.000,    125.000,     0.010, 0.7990E+00,  0.100
   725.000,    175.000,     0.010, 0.8592E+00,  0.100
   725.000,    225.000,     0.010, 0.9025E+00,  0.100
   725.000,    275.000,     0.010, 0.9282E+00,  0.100
   725.000,    325.000,     0.010, 0.9394E+00,  0.100
   725.000,    375.000,     0.010, 0.9425E+00,  0.100
