 x[m],y[m],z[m],mg[nT],Std_dev[nT]
  1075.000,    575.000,     0.010,-0.7817E+02,  0.100
  1075.000,    625.000,     0.010,-0.6926E+02,  0.100
  1075.000,    675.000,     0.010,-0.5310E+02,  0.100
  1075.000,    725.000,     0.010,-0.3272E+02,  0.100
  1075.000,    775.000,     0.010,-0.1189E+02,  0.100
  1075.000,    825.000,     0.010, 0.5190E+01,  0.100
  1075.000,    875.000,     0.010, 0.1392E+02,  0.100
  1075.000,    925.000,     0.010, 0.1427E+02,  0.100
  1075.000,    975.000,     0.010, 0.1070E+02,  0.100
  1125.000,     25.000,     0.010, 0.1283E+03,  0.100
  1125.000,     75.000,     0.010, 0.2038E+03,  0.100
  1125.000,    125.000,     0.010, 0.2201E+03,  0.100
  1125.000,    175.000,     0.010, 0.1544E+03,  0.100
  1125.000,    225.000,     0.010, 0.8419E+02,  0.100
  1125.000,    275.000,     0.010, 0.3483E+01,  0.100
  1125.000,    325.000,     0.010,-0.9971E+02,  0.100
  1125.000,    375.000,     0.010,-0.1459E+03,  0.100
  1125.000,    425.000,     0.010,-0.1183E+03,  0.100
  1125.000,    475.000,     0.010,-0.1022E+03,  0.100
  1125.000,    525.000,     0.010,-0.1019E+03,  0.100
  1125.000,    575.000,     0.010,-0.1066E+03,  0.100
  1125.000,    625.000,     0.010,-0.1009E+03,  0.100
  1125.000,    675.000,     0.010,-0.7990E+02,  0.100
  1125.000,    725.000,     0.010,-0.5068E+02,  0.100
  1125.000,    775.000,     0.010,-0.1872E+02,  0.100
  1125.000,    825.000,     0.010, 0.9866E+01,  0.100
  1125.000,    875.000,     0.010, 0.2443E+02,  0.100
  1125.000,    925.000,     0.010, 0.2351E+02,  0.100
  1125.000,    975.000,     0.010, 0.1681E+02,  0.100
  1175.000,     25.000,     0.010, 0.1166E+03,  0.100
  1175.000,     75.000,     0.010, 0.1938E+03,  0.100
  1175.000,    125.000,     0.010, 0.2027E+03,  0.100
  1175.000,    175.000,     0.010, 0.1284E+03,  0.100
  1175.000,    225.000,     0.010, 0.5850E+02,  0.100
  1175.000,    275.000,     0.010,-0.2005E+02,  0.100
  1175.000,    325.000,     0.010,-0.1234E+03,  0.100
  1175.000,    375.000,     0.010,-0.1609E+03,  0.100
  1175.000,    425.000,     0.010,-0.1240E+03,  0.100
  1175.000,    475.000,     0.010,-0.1094E+03,  0.100
  1175.000,    525.000,     0.010,-0.1173E+03,  0.100
  1175.000,    575.000,     0.010,-0.1324E+03,  0.100
  1175.000,    625.000,     0.010,-0.1308E+03,  0.100
  1175.000,    675.000,     0.010,-0.1048E+03,  0.100
  1175.000,    725.000,     0.010,-0.6719E+02,  0.100
