 x[m],y[m],z[m],mg[nT],Std_dev[nT]
  1125.000,    775.000,     0.010,-0.2494E+02,  0.100
  1125.000,    825.000,     0.010, 0.2360E+02,  0.100
  1125.000,    875.000,     0.010, 0.1919E+02,  0.100
  1125.000,    925.000,     0.010, 0.2030E+02,  0.100
  1125.000,    975.000,     0.010, 0.2596E+02,  0.100
  1175.000,     25.000,     0.010, 0.1132E+03,  0.100
  1175.000,     75.000,     0.010, 0.2027E+03,  0.100
  1175.000,    125.000,     0.010, 0.2131E+03,  0.100
  1175.000,    175.000,     0.010, 0.1391E+03,  0.100
  1175.000,    225.000,     0.010, 0.5742E+02,  0.100
  1175.000,    275.000,     0.010,-0.5299E+01,  0.100
  1175.000,    325.000,     0.010,-0.1218E+03,  0.100
  1175.000,    375.000,     0.010,-0.1656E+03,  0.100
  1175.000,    425.000,     0.010,-0.1245E+03,  0.100
  1175.000,    475.000,     0.010,-0.1160E+03,  0.100
  1175.000,    525.000,     0.010,-0.1151E+03,  0.100
  1175.000,    575.000,     0.010,-0.1375E+03,  0.100
  1175.000,    625.000,     0.010,-0.1467E+03,  0.100
  1175.000,    675.000,     0.010,-0.9145E+02,  0.100
  1175.000,    725.000,     0.010,-0.6496E+02,  0.100
